date,predit_result,
2023-09-18,5.4002357,
2023-09-25,5.419934,
2023-10-02,5.5545273,  
2023-10-09,5.9296417,
2023-10-16,6.3628306,
2023-10-23,8.582462,
2023-10-30,8.383019,
2023-11-06,8.439035,
2023-11-13,8.229551,
2023-11-20,8.40101,
2023-11-27,7.516292,
2023-12-04,7.540416,
2023-12-11,7.5045633,
2023-12-18,7.7497344,
2023-12-25,7.7222357,
2024-01-01,7.7089343,
2024-01-08,8.4375925,
2024-01-15,9.208849,
2024-01-22,13.979174,
2024-01-29,13.860144,
2024-02-05,13.737832,
2024-02-12,13.998665,
2024-02-19,13.727706,
2024-02-26,17.11836,
2024-03-04,16.461056,
2024-03-11,15.886978,
2024-03-18,20.002018,
2024-03-25,23.752977,
2024-04-01,23.418161,
2024-04-08,22.949816,
2024-04-15,20.86393,
2024-04-22,10.545982,
2024-04-29,10.309099,
2024-05-06,10.041169,
2024-05-13,8.410834,
2024-05-20,5.387763,
2024-05-27,5.367203,
2024-06-03,5.3604937,
2024-06-10,5.2556314,
2024-06-17,5.2141647,
2024-06-24,5.303313,
2024-07-01,5.273019,
2024-07-08,5.187712,
2024-07-15,5.1274433,
2024-07-22,4.8561454,
2024-07-29,4.8733945,
2024-08-05,4.9856095,
2024-08-12,5.0604424,
2024-08-19,5.6333947,
2024-08-26,5.5896525,
2024-09-02,5.5545354,
2024-09-09,5.5778065,
2024-09-16,5.540102,
2024-09-23,5.6483355,
2024-09-30,5.610303,
2024-10-07,5.5876217,
2024-10-14,5.607234,
2024-10-21,5.8000436,
2024-10-28,5.762481,
2024-11-04,8.046987,
2024-11-11,11.573742,
2024-11-18,14.427081,
2024-11-25,15.995582,
2024-12-02,16.565632,
2024-12-09,16.515896,
2024-12-16,16.389238,
2024-12-23,16.000982,
2024-12-30,15.827998,
2025-01-06,16.949928,
2025-01-13,18.709597,
2025-01-20,26.587158,
2025-01-27,26.325327,
2025-02-03,26.087805,
2025-02-10,25.85346,
2025-02-17,24.604403,
2025-02-24,22.16085,
2025-03-03,22.111757,
2025-03-10,22.118084,
2025-03-17,21.288708,
2025-03-24,15.441515,
2025-03-31,15.288619,
2025-04-07,15.041556,
2025-04-14,15.198952,
2025-04-21,14.602964,
2025-04-28,17.99212,
2025-05-05,17.7128,
2025-05-12,18.044695,
2025-05-19,15.145367,
2025-05-26,8.248605,
2025-06-02,8.133747,
2025-06-09,8.6776705,
2025-06-16,8.948742,
2025-06-23,10.789762,
2025-06-30,10.71271,
2025-07-07,10.79233,
2025-07-14,9.867203,
2025-07-21,5.8413143,
2025-07-28,5.835977,
2025-08-04,5.650808,
2025-08-11,5.7102823,
2025-08-18,6.3973947,
2025-08-25,6.297024,
2025-09-01,6.2245965,
2025-09-08,6.2807093,
2025-09-15,6.254488,
2025-09-22,6.493907,
2025-09-29,6.4368873,
2025-10-06,6.5055933,
2025-10-13,7.0390306,
2025-10-20,6.9697924,
2025-10-27,5.9310703,
2025-11-03,5.915922,
2025-11-10,6.099408,
2025-11-17,6.307514,
2025-11-24,8.283562,
2025-12-01,8.124237,
2025-12-08,8.177984,
2025-12-15,8.099059,
2025-12-22,8.4824,
2025-12-29,8.288103,
2026-01-05,8.030569,
2026-01-12,7.7411375,
2026-01-19,6.36064,
2026-01-26,6.315142,
2026-02-02,6.288811,
2026-02-09,6.5280747,
2026-02-16,6.851359,
2026-02-23,8.309501,
2026-03-02,8.096872,
2026-03-09,7.663265,
2026-03-16,7.556867,
2026-03-23,7.322561,
2026-03-30,8.621071,
2026-04-06,8.670526,
2026-04-13,8.461298,
2026-04-20,8.426747,
2026-04-27,6.58976,
2026-05-04,6.6370807,
2026-05-11,7.1932554,
2026-05-18,8.147117,
2026-05-25,9.774912,
2026-06-01,9.374235,
2026-06-08,9.442912,
2026-06-15,9.214545,
2026-06-22,8.40006,
2026-06-29,5.314711,
2026-07-06,5.400457,
2026-07-13,5.2983456,
2026-07-20,5.175457,
2026-07-27,5.1583714,
2026-08-03,5.1457353,
2026-08-10,5.216196,
2026-08-17,5.2134123,
2026-08-24,5.151015,
2026-08-31,5.142258,
2026-09-07,5.156685,
2026-09-14,5.139958,
2026-09-21,5.1761036,
2026-09-28,5.1593056,
2026-10-05,5.164928,
2026-10-12,5.0341635,
2026-10-19,5.0540156,
2026-10-26,4.8195357,
2026-11-02,4.834792,
2026-11-09,4.9005575,
2026-11-16,4.9370265,
2026-11-23,5.302494,
2026-11-30,5.282747,
2026-12-07,5.293806,
2026-12-14,5.273388,
2026-12-21,5.34956,
2026-12-28,5.3253775,
2027-01-04,5.2649293,
2027-01-11,5.245393,
2027-01-18,4.9583783,
2027-01-25,4.962051,
2027-02-01,4.9646087,
2027-02-08,5.026326,
2027-02-15,5.069951,
2027-02-22,5.3461514,
2027-03-01,5.3309255,
2027-03-08,5.2545943,
2027-03-15,5.1668906,
2027-03-22,5.032932,
2027-03-29,5.14467,
2027-04-05,5.146108,
2027-04-12,5.221638,
2027-04-19,5.2799554,
2027-04-26,5.440733,
2027-05-03,5.4580684,
2027-05-10,5.748304,
2027-05-17,5.8713336,
2027-05-24,7.8226867,
2027-05-31,7.7336483,
2027-06-07,7.756762,
2027-06-14,7.796793,
2027-06-21,8.319375,
2027-06-28,9.075329,
2027-07-05,9.072712,
2027-07-12,10.486615,
2027-07-19,14.736491,
2027-07-26,26.160107,
2027-08-02,25.625982,
2027-08-09,25.12399,
2027-08-16,24.622623,
2027-08-23,13.644126,
